id	trait	prot_name
CLIC5.12475.48.3	Q9NZA1	CLIC5
CLINT1.11659.31.3	Q14677	CLINT1
CLK2.11327.56.3	P49760	CLK2
CLMP.10440.26.3	Q9H6B4	CLMP
CLMP.9585.80.3	Q9H6B4	CLMP
CLN5.8874.53.3	O75503	CLN5
CLN5.9795.9.3	O75503	CLN5
CLPB.11860.3.3	Q9H078	CLPB
CLPS.5749.53.3	P04118	CLPS
CLPSL2.7767.1.3	Q6UWE3	CLPSL2
CLSTN3.6291.55.3	Q9BQT9	CLSTN3
CLTC.13711.10.3	Q00610	CLTC
CLU.4542.24.2	P10909	CLU
CMA1.3423.59.2	P23946	CMA1
CMPK1.4786.58.3	P30085	CMPK1
CMPK1.8312.139.3	P30085	CMPK1
CNDP2.3192.3.2	Q96KP4	CNDP2
CNEP1R1.13532.25.3	Q8N9A8	CNEP1R1
CNOT1.13482.14.3	A5YKK6	CNOT1
CNP.6609.22.3	P09543	CNP
CNTF.3489.9.2	P26441	CNTF
CNTFR.14101.2.3	P26992	CNTFR
CNTFR.2711.6.2	P26992	CNTFR
CNTN2.3296.92.2	Q02246	CNTN2
CNTN4.3298.52.2	Q8IWV2	CNTN4
CNTN5.3299.29.2	O94779	CNTN5
CNTNAP1.14617.7.3	P78357	CNTNAP1
CNTNAP2.6965.19.3	Q9UHC6	CNTNAP2
COA3.7888.58.3	Q9Y2R0	COA3
COCH.7227.75.3	O43405	COCH
COG8.9543.131.3	Q96MW5	COG8
COL11A2.11278.4.3	P13942	COL11A2
COL15A1.8974.172.3	P39059	COL15A1
COL18A1.2201.17.6	P39060	COL18A1
COL1A1.11140.56.3	P02452	COL1A1
COL20A1.8804.39.3	Q9P218	COL20A1
COL26A1.9539.25.3	Q96A83	COL26A1
COL28A1.10702.1.3	Q2UY09	COL28A1
COL6A1.11150.3.3	P12109	COL6A1
COL6A3.11196.31.3	P12111	COL6A3
COL6A5.11155.16.3	A8TX70	COL6A5
COL8A1.4807.13.3	P27658	COL8A1
COL9A2.9804.11.3	Q14055	COL9A2
COLEC10.6558.5.3	Q9Y6Z7	COLEC10
COLEC11.4430.44.3	Q9BWP8	COLEC11
COLEC12.5457.5.2	Q5KU26	COLEC12
COLEC12.9787.23.3	Q5KU26	COLEC12
COLGALT1.5638.23.3	Q8NBJ5	COLGALT1
COLGALT2.7234.12.3	Q8IYK4	COLGALT2
COMMD1.12509.115.3	Q8N668	COMMD1
COMMD7.2823.7.1	Q86VX2	COMMD7
COPS2.14029.42.3	P61201	COPS2
COTL1.4905.63.1	Q14019	COTL1
COX4I2.7850.1.3	Q96KJ9	COX4I2
COX5B.7887.57.3	P10606	COX5B
COX6C.8903.1.3	P09669	COX6C
COX7A1.8390.25.3	P24310	COX7A1
COX8A.10497.242.3	P10176	COX8A
CPA2.9276.7.3	P48052	CPA2
CPA4.9267.2.3	Q9UI42	CPA4
CPB1.6356.3.3	P15086	CPB1
CPM.7768.10.3	P14384	CPM
CPNE1.5346.24.3	Q99829	CPNE1
CPVL.8891.7.3	Q9H3G5	CPVL
CPXM1.6255.74.3	Q96SM3	CPXM1
CPZ.6493.9.3	Q66K79	CPZ
CRABP1.11967.23.3	P29762	CRABP1
CRABP2.11696.7.3	P29373	CRABP2
CRB1.12012.33.3	P82279	CRB1
CREB3L1.11198.37.3	Q96BA8	CREB3L1
CREB3L4.11308.8.3	Q8TEY5	CREB3L4
CREBBP.13614.6.3	Q92793	CREBBP
CREG1.9357.4.3	O75629	CREG1
CRELD1.7628.40.3	Q96HD1	CRELD1
CRH.5614.44.3	P06850	CRH
CRHBP.6039.24.3	P24387	CRHBP
CRIM1.8699.43.3	Q9NZV1	CRIM1
CRISP2.9282.12.3	P16562	CRISP2
CRISP3.3187.52.2	P54108	CRISP3
CRISPLD2.5691.2.3	Q9H0B8	CRISPLD2
CRK.4976.57.1	P46108	CRK
CRKL.9877.28.3	P46109	CRKL
CRLF1.CLCF1.2607.54.2	"O75462	CRLF1
CRLF2.13694.24.3	Q9HC73	CRLF2
CRLF2.2746.56.1	Q9HC73	CRLF2
CROT.13929.27.3	Q9UKG9	CROT
CRP.4337.49.2	P02741	CRP
CRTAM.5068.54.3	O95727	CRTAM
CRTAM.7968.15.3	O95727	CRTAM
CRYAA.10087.10.3	P02489	CRYAA
CRYBB2.10000.28.3	P43320	CRYBB2
CRYGD.12366.16.3	P07320	CRYGD
CRYZL1.9207.60.3	O95825	CRYZL1
CSAG1.5716.49.3	Q6PB30	CSAG1
CSDC2.12754.14.3	Q9Y534	CSDC2
CSDE1.12735.39.3	O75534	CSDE1
CSF1.3738.54.4	P09603	CSF1
CSF2.4697.59.2	P04141	CSF2
CSF2RA.10438.19.3	P15509	CSF2RA
CSF2RB.10512.13.3	P32927	CSF2RB
CSF2RB.11137.43.3	P32927	CSF2RB
CSF3.8952.65.3	P09919	CSF3
CSF3R.2719.3.4	Q99062	CSF3R
CSGALNACT2.10772.21.3	Q8N6G5	CSGALNACT2
CSH1.CSH2.13103.125.3	"P0DML2	CSH1
CSK.3363.31.4	P41240	CSK
CSMD1.9598.23.3	Q96PZ7	CSMD1
CSMD2.9971.5.3	Q7Z408	CSMD2
CSN1S1.4695.49.2	P47710	CSN1S1
CSNK1D.11289.31.3	P48730	CSNK1D
CSNK1G2.12653.13.3	P78368	CSNK1G2
CSNK2A1.3427.63.2	P68400	CSNK2A1
CSNK2A1.5224.20.3	P68400	CSNK2A1
CSNK2A1.CSNK2B.5225.50.3	"P67870	CSNK2A1
CSNK2A2.CSNK2B.5226.36.3	"P19784	CSNK2A2
CSPG4.8951.162.3	Q6UVK1	CSPG4
CSRP2.12968.2.3	Q16527	CSRP2
CSRP3.9171.11.3	P50461	CSRP3
CST5.13661.193.3	P28325	CST5
CST6.14711.27.3	Q15828	CST6
CST6.3303.23.2	Q15828	CST6
CST7.3302.58.1	O76096	CST7
CST8.10572.65.3	O60676	CST8
CT55.9363.11.3	Q8WUE5	CT55
CTBS.6115.40.3	Q01459	CTBS
CTCF.14624.51.3	P49711	CTCF
CTF1.13732.79.3	Q16619	CTF1
CTF1.2889.37.2	Q16619	CTF1
CTGF.2975.19.2	P29279	CTGF
CTNNA2.9872.23.3	P26232	CTNNA2
CTRB1.5671.1.3	P17538	CTRB1
CTRC.5626.20.3	Q99895	CTRC
CTRL.9229.9.3	P40313	CTRL
CTSA.3179.51.2	P10619	CTSA
CTSB.3061.61.2	P07858	CTSB
CTSC.3178.5.2	P53634	CTSC
CTSE.3594.6.5	P14091	CTSE
CTSF.8393.121.3	Q9UBX1	CTSF
CTSF.9212.22.3	Q9UBX1	CTSF
CTSG.2431.17.3	P08311	CTSG
CTSH.3737.6.3	P09668	CTSH
CTSH.8465.52.3	P09668	CTSH
CTSO.9264.11.3	P43234	CTSO
CTSS.3181.50.2	P25774	CTSS
CTSV.3364.76.2	O60911	CTSV
CTSZ.4971.1.1	Q9UBR2	CTSZ
CTXN3.10467.58.3	Q4LDR2	CTXN3
CUBN.12904.180.3	O60494	CUBN
CUL3.10045.47.3	Q13618	CUL3
CUL4B.13743.56.3	Q13620	CUL4B
CUL9.12991.49.3	Q8IWT3	CUL9
CUZD1.7943.16.3	Q86UP6	CUZD1
CX3CL1.2827.23.2	P78423	CX3CL1
CXADR.11204.80.3	P78310	CXADR
CXCL1.2985.35.1	P09341	CXCL1
CXCL10.4141.79.1	P02778	CXCL10
CXCL11.3038.9.2	O14625	CXCL11
CXCL12.2330.2.1	P48061	CXCL12
CXCL12.3516.60.2	P48061	CXCL12
CXCL13.3487.32.2	O43927	CXCL13
CXCL14.5730.60.3	O95715	CXCL14
CXCL16.2436.49.4	Q9H2A7	CXCL16
CXCL3.CXCL2.2986.49.2	"P19875	CXCL3
CXCL3.CXCL2.3148.49.1	"P19875	CXCL3
CXCL5.2979.8.2	P42830	CXCL5
CXCL8.3447.64.2	P10145	CXCL8
CXCL9.11593.21.3	Q07325	CXCL9
CXCL9.9188.119.3	Q07325	CXCL9
CYB5A.11287.14.3	P00167	CYB5A
CYB5R3.7215.18.3	P00387	CYB5R3
CYCS.2942.50.2	P99999	CYCS
CYGB.11546.7.3	Q8WWM9	CYGB
CYP3A4.2943.5.2	P08684	CYP3A4
CYP3A4.7879.12.3	P08684	CYP3A4
CYR61.6264.9.3	O00622	CYR61
CYTH2.12533.135.3	Q99418	CYTH2
CYTH4.12746.4.3	Q9UIA0	CYTH4
CYTIP.13612.7.3	O60759	CYTIP
DAG1.8369.102.3	Q14118	DAG1
DAPK2.4355.13.1	Q9UIK4	DAPK2
DBNL.4978.54.2	Q9UJU6	DBNL
DCAF5.11283.13.3	Q96JK2	DCAF5
DCBLD2.9338.2.3	Q96PD2	DCBLD2
DCK.9836.20.3	P27707	DCK
DCLK3.7826.1.3	Q9C098	DCLK3
DCN.2666.53.2	P07585	DCN
DCP1A.14008.22.3	Q9NPI6	DCP1A
DCTN2.5879.51.3	Q13561	DCTN2
DCTPP1.4314.12.2	Q9H773	DCTPP1
DCUN1D3.13553.4.3	Q8IWE4	DCUN1D3
DCUN1D5.8760.10.3	Q9BTE7	DCUN1D5
DDC.3538.26.1	P20711	DDC
DDR2.3606.2.5	Q16832	DDR2
DDX25.13984.23.3	Q9UHL0	DDX25
DDX39B.9742.59.3	Q13838	DDX39B
DDX58.12382.2.3	O95786	DDX58
DEAF1.6369.82.3	O75398	DEAF1
DEFB1.6629.3.3	P60022	DEFB1
DEFB103A.5679.16.3	P81534	DEFB103A
DEFB104A.5763.67.3	Q8WTQ1	DEFB104A
DEFB105A.10962.46.3	Q8NG35	DEFB105A
DEFB106A.5664.57.3	Q8N104	DEFB106A
DEFB107A.6399.52.3	Q8IZN7	DEFB107A
DEFB108B.5611.56.3	Q8NET1	DEFB108B
DEFB110.8340.9.3	Q30KQ9	DEFB110
DEFB112.5689.1.3	Q30KQ8	DEFB112
DEFB113.13374.4.3	Q30KQ7	DEFB113
DEFB115.8391.12.3	Q30KQ5	DEFB115
DEFB116.11144.10.3	Q30KQ4	DEFB116
DEFB118.9306.7.3	Q96PH6	DEFB118
DEFB119.10689.5.3	Q8N690	DEFB119
DEFB119.13455.10.3	Q8N690	DEFB119
DEFB119.8315.5.3	Q8N690	DEFB119
DEFB119.8370.102.3	Q8N690	DEFB119
DEFB121.5765.53.3	Q5J5C9	DEFB121
DEFB123.9362.11.3	Q8N688	DEFB123
DEFB125.9486.13.3	Q8N687	DEFB125
DEFB128.6360.7.3	Q7Z7B8	DEFB128
DEFB134.10610.8.3	Q4QY38	DEFB134
DEFB135.6411.58.3	Q30KP9	DEFB135
DEFB136.9332.6.3	Q30KP8	DEFB136
DEPP.7178.59.3	Q9NTK1	DEPP
DERL1.13393.46.3	Q9BUN8	DERL1
DES.12030.82.3	P17661	DES
DGCR14.11356.19.3	Q96DF8	DGCR14
DGCR2.8055.33.3	P98153	DGCR2
DGCR6.9444.70.3	Q14129	DGCR6
DGKB.12895.28.3	Q9Y6T7	DGKB
DHFR.9823.2.3	P00374	DHFR
DHH.4389.2.1	O43323	DHH
DHX38.13645.14.3	Q92620	DHX38
DHX58.14012.17.3	Q96C10	DHX58
DHX8.11601.26.3	Q14562	DHX8
DHX9.10527.22.3	Q08211	DHX9
DIABLO.3122.6.2	Q9NR28	DIABLO
DIMT1.12694.28.3	Q9UNQ2	DIMT1
DIRAS3.12406.119.3	O95661	DIRAS3
DKK1.3535.84.1	O94907	DKK1
DKK3.3607.71.6	Q9UBP4	DKK3
DKK4.3365.7.2	Q9UBT3	DKK4
DKKL1.3644.5.4	Q9UK85	DKKL1
DLD.10025.1.3	P09622	DLD
DLG3.7897.75.3	Q92796	DLG3
DLK1.6496.60.3	P80370	DLK1
DLK1.8380.244.4	P80370	DLK1
DLK2.9359.9.3	Q6UY11	DLK2
DLL1.5349.69.3	O00548	DLL1
DLL1.8264.43.3	O00548	DLL1
DLL4.3305.6.1	Q9NR61	DLL4
DMKN.8535.102.3	Q6E0U4	DMKN
DMPK.9010.3.3	Q09013	DMPK
DNAJA4.9744.139.3	Q8WW22	DNAJA4
DNAJB1.3852.19.2	P25685	DNAJB1
DNAJB11.7110.2.3	Q9UBS4	DNAJB11
DNAJB12.8006.12.3	Q9NXW2	DNAJB12
DNAJB14.8037.53.3	Q8TBM8	DNAJB14
DNAJB14.8053.16.3	Q8TBM8	DNAJB14
DNAJB2.11438.6.3	P25686	DNAJB2
DNAJB9.11214.40.3	Q9UBS3	DNAJB9
DNAJC10.8297.8.3	Q8IXB1	DNAJC10
DNAJC15.7197.2.3	Q9Y5T4	DNAJC15
DNAJC17.14655.1.3	Q9NVM6	DNAJC17
DNAJC18.8033.1.3	Q9H819	DNAJC18
DNAJC19.4545.53.3	Q96DA6	DNAJC19
DNAJC27.12799.65.3	Q9NZQ0	DNAJC27
DNAJC30.7866.11.3	Q96LL9	DNAJC30
DNAJC4.8016.19.3	Q9NNZ3	DNAJC4
DNASE2B.6533.20.3	Q8WZ79	DNASE2B
DNER.11442.1.3	Q8NFT8	DNER
DNER.9769.48.3	Q8NFT8	DNER
DOCK9.14002.18.3	Q9BZ29	DOCK9
DOK2.14246.50.3	O60496	DOK2
DPEP1.8794.13.3	P16444	DPEP1
DPEP2.8327.26.3	Q9H4A9	DPEP2
DPP10.7890.68.3	Q8N608	DPP10
DPP7.3608.12.5	Q9UHL4	DPP7
DPP7.8346.9.3	Q9UHL4	DPP7
DPT.4979.34.2	Q07507	DPT
DPY30.13943.38.3	Q9C005	DPY30
DPYSL3.12707.26.3	Q14195	DPYSL3
DPYSL5.12683.156.3	Q9BPU6	DPYSL5
DRGX.8034.6.3	A6NNA5	DRGX
DSC2.13126.52.3	Q02487	DSC2
DSC3.4981.6.1	Q14574	DSC3
DSCAM.9175.48.3	O60469	DSCAM
DSG1.2976.58.2	Q02413	DSG1
DSG2.9484.75.3	Q14126	DSG2
DTX1.11430.49.3	Q86Y01	DTX1
DTX3L.11643.73.3	Q8TDB6	DTX3L
DUSP13.6525.17.3	Q6B8I1	DUSP13
DUSP15.12838.28.3	Q9H1R2	DUSP15
DUSP16.14631.22.3	Q9BY84	DUSP16
DUSP4.10035.6.3	Q13115	DUSP4
DUSP6.12341.8.3	Q16828	DUSP6
DVL2.13575.40.3	O14641	DVL2
DYNAP.10692.48.3	Q8N1N2	DYNAP
DYNLL1.3881.49.2	P63167	DYNLL1
DYNLT3.12867.40.3	P51808	DYNLT3
DYRK3.4359.87.1	O43781	DYRK3
ECE1.3611.70.4	P42892	ECE1
ECE1.8767.44.3	P42892	ECE1
EDA.14024.196.3	Q92838	EDA
EDA.2826.53.2	Q92838	EDA
EDA2R.3083.71.1	Q9HAV5	EDA2R
EDAR.2977.7.2	Q9UNE0	EDAR
EDC4.13066.42.3	Q6P2E9	EDC4
EDDM3B.7782.34.3	P56851	EDDM3B
EDF1.12415.122.3	O60869	EDF1
EDN2.12574.36.3	P20800	EDN2
EEA1.14043.12.3	Q15075	EEA1
EEF1B2.5882.34.2	P24534	EEF1B2
EFCAB14.10830.5.3	O75071	EFCAB14
EFHA2.6912.6.3	Q86XE3	EFHA2
EFNA2.14124.6.3	O43921	EFNA2
EFNA3.14153.8.3	P52797	EFNA3
EFNA3.5759.10.3	P52797	EFNA3
EFNA4.2614.28.2	P52798	EFNA4
EFNA5.2615.60.2	P52803	EFNA5
EFNB1.13104.32.3	P98172	EFNB1
EFNB1.5746.37.3	P98172	EFNB1
EFNB2.14131.37.3	P52799	EFNB2
EFNB2.8772.5.3	P52799	EFNB2
EFNB3.2514.65.3	Q15768	EFNB3
EFNB3.7785.1.3	Q15768	EFNB3
EGF.5509.7.3	P01133	EGF
EGFR.2677.1.1	P00533	EGFR
EGFR.5328.33.37	P00533	EGFR
EHBP1.12813.18.3	Q8NDI1	EHBP1
EHD4.11421.10.3	Q9H223	EHD4
EHF.13387.55.3	Q9NZC4	EHF
EHMT2.5843.60.3	Q96KQ7	EHMT2
EID3.8079.39.3	Q8N140	EID3
EIF1AD.13545.97.3	Q8N9N8	EIF1AD
EIF1AX.9850.38.3	P47813	EIF1AX
EIF2B1.10080.9.3	Q14232	EIF2B1
EIF3G.11454.87.3	O75821	EIF3G
EIF3J.13497.34.3	O75822	EIF3J
EIF4A3.4997.19.1	P38919	EIF4A3
EIF4B.14675.20.3	P23588	EIF4B
EIF4E2.9745.20.3	O60573	EIF4E2
EIF4EBP2.4184.43.3	Q13542	EIF4EBP2
EIF4G3.13991.47.3	O43432	EIF4G3
EIF5.2612.5.2	P55010	EIF5
EIF5A.5888.29.3	P63241	EIF5A
ELAVL1.11592.1.3	Q15717	ELAVL1
ELF5.13457.33.3	Q9UKW6	ELF5
ELK1.10006.25.3	P19419	ELK1
ELK3.5707.55.3	P41970	ELK3
ELL.11459.81.3	P55199	ELL
ELL2.11494.4.3	O00472	ELL2
ELMO1.12764.3.3	Q92556	ELMO1
EMC1.11989.35.3	Q8N766	EMC1
EMC4.13516.46.3	Q5J8M3	EMC4
EMID1.13021.12.3	Q96A84	EMID1
EMILIN3.8773.172.3	Q9NT22	EMILIN3
EMILIN3.8964.14.3	Q9NT22	EMILIN3
EMILIN3.9991.112.3	Q9NT22	EMILIN3
ENAH.9757.29.3	Q8N8S7	ENAH
ENDOU.5656.53.3	P21128	ENDOU
ENG.4908.6.1	P17813	ENG
ENO2.10339.48.3	P09104	ENO2
ENO2.11083.23.3	P09104	ENO2
ENOX2.13422.66.3	Q16206	ENOX2
ENPP5.6556.5.3	Q9UJA9	ENPP5
ENPP7.4435.66.2	Q6UWV6	ENPP7
ENTHD2.7947.19.3	Q96N21	ENTHD2
ENTPD1.3182.38.2	P49961	ENTPD1
ENTPD1.7999.23.3	P49961	ENTPD1
ENTPD3.4436.1.2	O75355	ENTPD3
ENTPD5.4437.56.3	O75356	ENTPD5
ENTPD6.8932.1.3	O75354	ENTPD6
EPHA1.3431.54.2	P21709	EPHA1
EPHA10.6036.78.3	Q5JZY3	EPHA10
EPHA2.4834.61.2	P29317	EPHA2
EPHA5.14089.41.3	P54756	EPHA5
EPHA5.3806.55.1	P54756	EPHA5
EPHB2.5077.28.3	P29323	EPHB2
EPHB2.8225.86.3	P29323	EPHB2
EPHB2.8348.4.3	P29323	EPHB2
EPHB3.9220.7.3	P54753	EPHB3
EPHB4.3612.6.4	P54760	EPHB4
EPHB6.5078.82.3	O15197	EPHB6
EPHB6.9261.14.3	O15197	EPHB6
EPO.5813.58.3	P01588	EPO
EPOR.2715.25.2	P19235	EPOR
EPS15L1.4212.5.3	Q9UBC2	EPS15L1
EPYC.9278.9.3	Q99645	EPYC
ERAP1.4964.67.1	Q9NZ08	ERAP1
ERAP2.8960.3.3	Q6P179	ERAP2
ERBB2.2616.23.18	P04626	ERBB2
ERBB3.2617.56.35	P21860	ERBB3
ERCC1.12585.39.3	P07992	ERCC1
ERCC4.9895.77.3	Q92889	ERCC4
EREG.4956.2.1	O14944	EREG
ERH.11614.29.3	P84090	ERH
ERLEC1.8957.72.3	Q96DZ1	ERLEC1
ERLIN1.8776.10.3	O75477	ERLIN1
ERMAP.8631.13.3	Q96PL5	ERMAP
ERO1L.7060.2.3	Q96HE7	ERO1L
ERO1LB.7994.41.3	Q86YB8	ERO1LB
ERP29.13728.19.3	P30040	ERP29
ERP44.6064.4.3	Q9BS26	ERP44
ERVV.1.12531.5.3	B6SEH8	ERVV
ESAM.2981.9.3	Q96AP7	ESAM
ESAM.7841.84.3	Q96AP7	ESAM
ESD.4984.83.1	P10768	ESD
ESM1.3805.16.2	Q9NQ30	ESM1
ESR1.2945.25.1	P03372	ESR1
ETHE1.3847.56.2	O95571	ETHE1
ETNK1.8328.9.3	Q9HBU6	ETNK1
ETS2.12350.86.3	P15036	ETS2
EVA1C.7008.13.3	P58658	EVA1C
EVA1C.8877.22.3	P58658	EVA1C
EVI2B.13028.2.3	P34910	EVI2B
EVL.11656.110.3	Q9UI08	EVL
EVPL.14019.73.3	Q92817	EVPL
EWSR1.12988.49.3	Q01844	EWSR1
EXOSC1.7930.3.3	Q9Y3B2	EXOSC1
EXOSC3.12605.1.3	Q9NQT5	EXOSC3
EXTL2.6528.95.3	Q9UBQ6	EXTL2
EZR.9753.17.3	P15311	EZR
F10.3077.66.2	P00742	F10
F10.4878.3.1	P00742	F10
F2.5316.54.3	P00734	F2
F3.4931.59.1	P13726	F3
F8.13499.30.3	P00451	F8
FAAH2.8396.42.3	Q6GMR7	FAAH2
FABP1.11516.7.3	P07148	FABP1
FABP3.4696.2.2	P05413	FABP3
FABP4.9851.9.3	P15090	FABP4
FABP5.4985.11.1	Q01469	FABP5
FAF2.6956.37.3	Q96CS3	FAF2
FAF2.8761.7.3	Q96CS3	FAF2
FAF2.9738.7.3	Q96CS3	FAF2
FAH.11424.4.3	P16930	FAH
FAIM3.6574.11.3	O60667	FAIM3
FAM107A.2760.2.2	O95990	FAM107A
FAM107B.4774.62.3	Q9H098	FAM107B
FAM107B.7801.30.3	Q9H098	FAM107B
FAM134B.8556.5.3	Q9H6L5	FAM134B
FAM150B.6284.7.3	Q6UX46	FAM150B
FAM151A.7856.51.3	Q8WW52	FAM151A
FAM159B.10504.6.3	A6NKW6	FAM159B
FAM163A.6260.14.3	Q96GL9	FAM163A
FAM163B.10880.38.3	P0C2L3	FAM163B
FAM171B.8061.102.3	Q6P995	FAM171B
FAM171B.8786.6.3	Q6P995	FAM171B
FAM171B.8851.42.3	Q6P995	FAM171B
FAM172A.5615.62.3	Q8WUF8	FAM172A
FAM173A.7148.42.3	Q9BQD7	FAM173A
FAM174A.6597.24.3	Q8TBP5	FAM174A
FAM174B.9054.8.3	Q3ZCQ3	FAM174B
FAM175B.8945.7.3	Q15018	FAM175B
FAM177A1.8039.41.3	Q8N128	FAM177A1
FAM189A2.5699.19.3	Q15884	FAM189A2
FAM189A2.5719.66.3	Q15884	FAM189A2
FAM19A2.6430.36.3	Q8N3H0	FAM19A2
FAM19A3.7839.99.3	Q7Z5A8	FAM19A3
FAM19A4.6511.17.3	Q96LR4	FAM19A4
FAM19A5.5609.92.3	Q7Z5A7	FAM19A5
FAM209B.7066.199.4	Q5JX69	FAM209B
FAM20A.6433.57.3	Q96MK3	FAM20A
FAM20B.7198.197.3	O75063	FAM20B
FAM213A.13423.94.3	Q9BRX8	FAM213A
FAM24B.8775.61.3	Q8N5W8	FAM24B
FAM3B.5618.50.3	P58499	FAM3B
FAM3B.9177.6.3	P58499	FAM3B
FAM3D.13102.1.3	Q96BQ1	FAM3D
FAM96A.8787.21.3	Q9H5X1	FAM96A
FANCL.10063.10.3	Q9NW38	FANCL
FAP.5029.3.1	Q12884	FAP
FARS2.13941.82.3	O95363	FARS2
FAS.5392.73.2	P25445	FAS
FAS.9218.7.3	P25445	FAS
FAS.9459.7.3	P25445	FAS
FASLG.3052.8.2	P48023	FASLG
FATE1.7740.33.3	Q969F0	FATE1
FAXDC2.9074.6.3	Q96IV6	FAXDC2
FBLN1.6470.19.3	P23142	FBLN1
FBP1.7206.20.3	P09467	FBP1
FBP2.9867.23.3	O00757	FBP2
FBXL4.11416.23.3	Q9UKA2	FBXL4
FBXL4.9921.14.3	Q9UKA2	FBXL4
FBXL4.9951.36.3	Q9UKA2	FBXL4
FBXL5.12846.3.3	Q9UKA1	FBXL5
FBXO3.14628.72.3	Q9UK99	FBXO3
FCAMR.9568.289.3	Q8WWV6	FCAMR
FCAR.4987.17.1	P24071	FCAR
FCER2.3291.30.2	P06734	FCER2
FCGR1A.3312.64.1	P12314	FCGR1A
FCGR2A.3309.2.2	P12318	FCGR2A
FCGR2B.3310.62.1	P31994	FCGR2B
FCGR3B.3311.27.1	O75015	FCGR3B
FCN1.3613.62.5	O00602	FCN1
FCN2.3313.21.2	Q15485	FCN2
FCRL1.5728.60.3	Q96LA6	FCRL1
FCRL2.7951.146.3	Q96LA5	FCRL2
FCRL3.4440.15.2	Q96P31	FCRL3
FCRL4.8973.23.3	Q96PJ5	FCRL4
FCRL5.6103.70.3	Q96RD9	FCRL5
FCRL6.6617.12.3	Q6DN72	FCRL6
FEN1.12577.100.3	P39748	FEN1
FGA.FGB.FGG.4907.56.1	"P02671	FGA
FGF1.3486.58.2	P05230	FGF1
FGF10.2441.2.4	O15520	FGF10
FGF16.13725.3.3	O43320	FGF16
FGF16.4393.3.1	O43320	FGF16
FGF19.2762.30.2	O95750	FGF19
FGF20.2763.66.2	Q9NP95	FGF20
FGF23.3807.1.2	Q9GZV9	FGF23
FGF4.4123.60.2	P08620	FGF4
FGF5.3065.65.1	P12034	FGF5
FGF6.4130.71.1	P10767	FGF6
FGF7.14031.18.3	P21781	FGF7
FGF7.4487.1.1	P21781	FGF7
FGF8.2443.10.4	P55075	FGF8
FGF8.4394.71.2	P55075	FGF8
FGF9.2764.20.2	P31371	FGF9
FGFR2.3808.76.2	P21802	FGFR2
FGFR3.13669.6.3	P22607	FGFR3
FGFR3.3809.1.2	P22607	FGFR3
FGFR4.4988.49.2	P22455	FGFR4
FGR.3810.50.2	P09769	FGR
FHIT.9826.135.3	P49789	FHIT
FIBCD1.9378.6.3	Q8N539	FIBCD1
FIG4.6948.82.3	Q92562	FIG4
FIGF.13098.93.3	O43915	FIGF
FIGF.14705.1.3	O43915	FIGF
FJX1.7921.65.3	Q86VR8	FJX1
FKBP14.9340.17.3	Q9NWM8	FKBP14
FKBP2.9339.204.3	P26885	FKBP2
FKBP6.12529.32.3	O75344	FKBP6
FKBP7.9288.7.3	Q9Y680	FKBP7
FLNA.11108.16.3	P21333	FLNA
FLNA.11124.9.3	P21333	FLNA
FLNA.11170.9.3	P21333	FLNA
FLNA.12906.137.3	P21333	FLNA
FLRT1.13739.3.3	Q9NZU1	FLRT1
FLRT1.4547.59.2	Q9NZU1	FLRT1
FLRT2.13122.19.3	O43155	FLRT2
FLRT3.13123.3.3	Q9NZU0	FLRT3
FLRT3.9128.34.3	Q9NZU0	FLRT3
FLT3.3437.80.3	P36888	FLT3
FLT3LG.14093.10.3	P49771	FLT3LG
FLT3LG.3053.49.2	P49771	FLT3LG
FLT4.2358.19.2	P35916	FLT4
FLVCR1.9073.35.3	Q9Y5Y0	FLVCR1
FN1.3435.53.2	P02751	FN1
FNDC4.13451.2.3	Q9H6D8	FNDC4
FNDC5.8041.5.3	Q8NAU1	FNDC5
FOLH1.3218.8.2	Q04609	FOLH1
FOLH1.5478.50.2	Q04609	FOLH1
FOXC2.14051.54.3	Q99958	FOXC2
FOXJ2.14204.55.3	Q9P0K8	FOXJ2
FOXL2.11375.49.3	P58012	FOXL2
FRK.10034.16.3	P42685	FRK
FRZB.13740.51.3	Q92765	FRZB
FRZB.2841.13.2	Q92765	FRZB
FST.4132.27.2	P19883	FST
FSTL1.13112.179.3	Q12841	FSTL1
FSTL1.9304.27.3	Q12841	FSTL1
FSTL3.3438.10.2	O95633	FSTL3
FSTL4.9350.3.3	Q6MZW2	FSTL4
FSTL5.7099.33.3	Q8N475	FSTL5
FTH1.FTL.3031.66.1	"P02792	FTH1
